Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
60,60,[6874.99807567],[0.04070483],[52068.76439315],[6.46785927],[-2.19251361],[-0.21925136]
61,61,[6828.70419833],[0.04777337],[52348.53272177],[5.2341546],[-2.1172464],[-0.21172464]
62,62,[6794.4073983],[0.05295252],[52674.63885433],[4.22575548],[-2.04463788],[-0.20446379]
63,63,[6769.92451894],[0.05653248],[53034.25173851],[3.43511894],[-1.97549058],[-0.19754906]
64,64,[6753.14154444],[0.0588166],[53416.76852166],[2.83862096],[-1.91013136],[-0.19101314]
65,65,[6742.1714864],[0.06009044],[53813.73640377],[2.40640221],[-1.84860221],[-0.18486022]
66,66,[6735.41604298],[0.06060583],[54218.63265555],[2.10819932],[-1.79078313],[-0.17907831]
67,67,[6731.57019769],[0.06057531],[54626.5882678],[1.91633186],[-1.73646771],[-0.17364677]
68,68,[6729.59753205],[0.06017251],[55034.10586284],[1.80692523],[-1.68540847],[-0.16854085]
69,69,[6728.69349043],[0.05953573],[55438.7982924],[1.76014252],[-1.63734369],[-0.16373437]
70,70,[6728.24629142],[0.05877282],[55839.15938441],[1.75991482],[-1.59201318],[-0.15920132]
71,71,[6727.80039772],[0.05796619],[56234.36978438],[1.79345792],[-1.54916745],[-0.15491674]
72,72,[6727.02464681],[0.05717755],[56624.1363699],[1.85073328],[-1.50857279],[-0.15085728]
73,73,[6725.68559766],[0.05645206],[57008.56164538],[1.92393404],[-1.47001411],[-0.14700141]
74,74,[6723.62585979],[0.05582171],[57388.03880776],[2.00703187],[-1.43329612],[-0.14332961]
75,75,[6720.74681836],[0.0553082],[57763.16818541],[2.09539617],[-1.39824365],[-0.13982437]
76,76,[6716.99505632],[0.0549252],[58134.69112516],[2.18548413],[-1.36470138],[-0.13647014]
77,77,[6712.35178576],[0.05468008],[58503.43792412],[2.27459462],[-1.33253306],[-0.13325331]
78,78,[6706.82466965],[0.05457536],[58870.28695747],[2.36067637],[-1.30162053],[-0.13016205]
79,79,[6700.44150642],[0.0546098],[59236.1326786],[2.44218103],[-1.2718626],[-0.12718626]
80,80,[6693.24534196],[0.05477922],[59601.86063492],[2.51795205],[-1.24317371],[-0.12431737]
81,81,[6685.29066036],[0.05507717],[59968.32804112],[2.58714178],[-1.21548258],[-0.12154826]
82,82,[6676.64037918],[0.05549548],[60336.34878078],[2.64915016],[-1.18873073],[-0.11887307]
83,83,[6667.36343928],[0.05602467],[60706.68197251],[2.70357965],[-1.16287111],[-0.11628711]
84,84,[6657.53283164],[0.05665431],[61080.0234454],[2.75020189],[-1.13786658],[-0.11378666]
85,85,[6647.22394628],[0.05737328],[61456.99962798],[2.78893273],[-1.1136885],[-0.11136885]
86,86,[6636.51316279],[0.05817006],[61838.16347384],[2.81981284],[-1.09031532],[-0.10903153]
87,87,[6625.47662815],[0.0590329],[62223.99213206],[2.84299175],[-1.06773124],[-0.10677312]
88,88,[6614.18918785],[0.05995009],[62614.88612968],[2.85871399],[-1.04592498],[-0.1045925]
89,89,[6602.72345095],[0.06091002],[63011.16987132],[2.86730626],[-1.02488855],[-0.10248885]
90,90,[6591.14897926],[0.06190145],[63413.09328439],[2.86916485],[-1.00461624],[-0.10046162]
91,91,[6579.53159737],[0.06291354],[63820.83445144],[2.86474335],[-0.98510368],[-0.09851037]
92,92,[6567.93282281],[0.06393604],[64234.5030778],[2.85454018],[-0.96634697],[-0.0966347]
93,93,[6556.40941647],[0.06495933],[64654.14464596],[2.83908638],[-0.94834207],[-0.09483421]
94,94,[6545.01305234],[0.06597452],[65079.74511161],[2.81893364],[-0.93108416],[-0.09310842]
95,95,[6533.79010354],[0.0669735],[65511.23599952],[2.79464302],[-0.91456728],[-0.09145673]
96,96,[6522.78153927],[0.067949],[65948.49976399],[2.76677437],[-0.89878398],[-0.0898784]
