Time (s),Velocity (m/s),Gamma (rad),Altitude (m),G-force,Angle of Attack (rad),AoA Adjustment (rad)
266,266,[6260.03603936],[-0.00316675],[114429.38546725],[1.61171962],[-0.64189739],[-0.06418974]
267,267,[6260.06210434],[-0.00377007],[114409.56154425],[1.61112295],[-0.6418378],[-0.06418378]
268,268,[6260.0940688],[-0.00437337],[114385.96073667],[1.61052776],[-0.64177838],[-0.06417784]
269,269,[6260.13192965],[-0.00497665],[114358.58310506],[1.60993404],[-0.64171912],[-0.06417191]
270,270,[6260.17568371],[-0.00557991],[114327.42872338],[1.6093418],[-0.64166002],[-0.064166]
271,271,[6260.22532771],[-0.00618314],[114292.49767898],[1.60875105],[-0.64160109],[-0.06416011]
272,272,[6260.28085827],[-0.00678634],[114253.79007272],[1.60816181],[-0.64154232],[-0.06415423]
273,273,[6260.34227194],[-0.0073895],[114211.30601897],[1.60757408],[-0.64148372],[-0.06414837]
274,274,[6260.40956513],[-0.00799262],[114165.04564569],[1.60698788],[-0.64142529],[-0.06414253]
275,275,[6260.48273414],[-0.0085957],[114115.00909452],[1.60640321],[-0.64136704],[-0.0641367]
276,276,[6260.56177515],[-0.00919873],[114061.19652087],[1.6058201],[-0.64130895],[-0.06413089]
277,277,[6260.6466842],[-0.00980172],[114003.60809394],[1.60523855],[-0.64125104],[-0.0641251]
278,278,[6260.73745718],[-0.01040464],[113942.24399691],[1.60465858],[-0.6411933],[-0.06411933]
279,279,[6260.83408982],[-0.01100751],[113877.10442698],[1.6040802],[-0.64113575],[-0.06411357]
280,280,[6260.93657771],[-0.01161032],[113808.18959551],[1.60350344],[-0.64107837],[-0.06410784]
281,281,[6261.04491623],[-0.01221307],[113735.49972816],[1.60292832],[-0.64102118],[-0.06410212]
282,282,[6261.15910059],[-0.01281574],[113659.035065],[1.60235484],[-0.64096418],[-0.06409642]
283,283,[6261.27912579],[-0.01341834],[113578.7958607],[1.60178304],[-0.64090737],[-0.06409074]
284,284,[6261.40498664],[-0.01402087],[113494.78238463],[1.60121294],[-0.64085075],[-0.06408507]
285,285,[6261.53667767],[-0.01462331],[113406.9949211],[1.60064455],[-0.64079432],[-0.06407943]
286,286,[6261.67419322],[-0.01522567],[113315.43376953],[1.60007791],[-0.6407381],[-0.06407381]
287,287,[6261.81752734],[-0.01582795],[113220.09924463],[1.59951305],[-0.64068208],[-0.06406821]
288,288,[6261.96667379],[-0.01643012],[113120.99167665],[1.59894999],[-0.64062627],[-0.06406263]
289,289,[6262.12162606],[-0.01703221],[113018.11141161],[1.59838877],[-0.64057067],[-0.06405707]
290,290,[6262.2823773],[-0.01763419],[112911.45881158],[1.59782942],[-0.64051529],[-0.06405153]
291,291,[6262.44892033],[-0.01823607],[112801.0342549],[1.59727197],[-0.64046013],[-0.06404601]
292,292,[6262.6212476],[-0.01883784],[112686.83813657],[1.59671647],[-0.6404052],[-0.06404052]
293,293,[6262.79935115],[-0.01943949],[112568.87086848],[1.59616295],[-0.64035051],[-0.06403505]
294,294,[6262.98322264],[-0.02004103],[112447.13287986],[1.59561147],[-0.64029606],[-0.06402961]
295,295,[6263.17285325],[-0.02064245],[112321.62461758],[1.59506207],[-0.64024185],[-0.06402419]
296,296,[6263.36823367],[-0.02124375],[112192.34654659],[1.5945148],[-0.6401879],[-0.06401879]
297,297,[6263.56935408],[-0.02184491],[112059.29915038],[1.59396971],[-0.64013422],[-0.06401342]
298,298,[6263.77620411],[-0.02244594],[111922.48293145],[1.59342687],[-0.64008081],[-0.06400808]
299,299,[6263.98877277],[-0.02304683],[111781.89841179],[1.59288635],[-0.64002768],[-0.06400277]
300,300,[6264.20704842],[-0.02364757],[111637.54613354],[1.59234821],[-0.63997485],[-0.06399748]
301,301,[6264.43101873],[-0.02424817],[111489.42665948],[1.59181253],[-0.63992231],[-0.06399223]
302,302,[6264.66067058],[-0.02484861],[111337.54057381],[1.59127938],[-0.6398701],[-0.06398701]
303,303,[6264.89599007],[-0.02544889],[111181.88848276],[1.59074887],[-0.63981821],[-0.06398182]
304,304,[6265.13696238],[-0.02604902],[111022.47101546],[1.59022108],[-0.63976667],[-0.06397667]
305,305,[6265.38357174],[-0.02664897],[110859.28882474],[1.58969612],[-0.63971548],[-0.06397155]
306,306,[6265.63580133],[-0.02724874],[110692.34258805],[1.5891741],[-0.63966467],[-0.06396647]
307,307,[6265.89363319],[-0.02784834],[110521.63300851],[1.58865515],[-0.63961425],[-0.06396143]
308,308,[6266.15704812],[-0.02844775],[110347.16081595],[1.5881394],[-0.63956425],[-0.06395643]
309,309,[6266.4260256],[-0.02904697],[110168.92676815],[1.58762699],[-0.63951468],[-0.06395147]
310,310,[6266.70054361],[-0.029646],[109986.93165213],[1.58711834],[-0.63946561],[-0.06394656]
311,311,[6266.98057619],[-0.03024481],[109801.17628556],[1.58661194],[-0.63941681],[-0.06394168]
312,312,[6267.26611184],[-0.03084342],[109611.66152078],[1.58610877],[-0.63936842],[-0.06393684]
313,313,[6267.55712971],[-0.03144182],[109418.38822992],[1.58560894],[-0.63932047],[-0.06393205]
314,314,[6267.85360775],[-0.03203999],[109221.35731448],[1.58511257],[-0.63927297],[-0.0639273]
315,315,[6268.15552266],[-0.03263794],[109020.56970641],[1.58461979],[-0.63922595],[-0.06392259]
316,316,[6268.46284979],[-0.03323565],[108816.02636934],[1.58413076],[-0.63917941],[-0.06391794]
317,317,[6268.77556303],[-0.03383312],[108607.72829989],[1.58364562],[-0.63913339],[-0.06391334]
318,318,[6269.0936347],[-0.03443034],[108395.67652913],[1.58316455],[-0.63908791],[-0.06390879]
319,319,[6269.41703545],[-0.03502731],[108179.87212405],[1.58268773],[-0.639043],[-0.0639043]
320,320,[6269.74573407],[-0.03562402],[107960.31618923],[1.58221534],[-0.63899869],[-0.06389987]
321,321,[6270.07969744],[-0.03622046],[107737.00986864],[1.58174761],[-0.638955],[-0.0638955]
322,322,[6270.41889028],[-0.03681662],[107509.95434758],[1.58128476],[-0.63891197],[-0.0638912]
323,323,[6270.76327503],[-0.0374125],[107279.15085472],[1.58082703],[-0.63886965],[-0.06388696]
324,324,[6271.11281167],[-0.03800808],[107044.60066439],[1.58037469],[-0.63882806],[-0.06388281]
325,325,[6271.46745751],[-0.03860336],[106806.30509901],[1.57992802],[-0.63878725],[-0.06387872]
326,326,[6271.82716699],[-0.03919832],[106564.26553175],[1.57948735],[-0.63874726],[-0.06387473]
327,327,[6272.19189141],[-0.03979296],[106318.48338934],[1.57905299],[-0.63870816],[-0.06387082]
328,328,[6272.56157872],[-0.04038727],[106068.96015521],[1.57862532],[-0.63866998],[-0.063867]
329,329,[6272.93617324],[-0.04098124],[105815.69737281],[1.57820472],[-0.63863279],[-0.06386328]
330,330,[6273.31561533],[-0.04157484],[105558.69664926],[1.57779162],[-0.63859666],[-0.06385967]
331,331,[6273.69984114],[-0.04216808],[105297.95965923],[1.57738647],[-0.63856164],[-0.06385616]
332,332,[6274.0887822],[-0.04276094],[105033.48814922],[1.57698977],[-0.63852782],[-0.06385278]
333,333,[6274.48236508],[-0.04335341],[104765.28394213],[1.57660205],[-0.63849527],[-0.06384953]
334,334,[6274.88051101],[-0.04394547],[104493.34894225],[1.57622389],[-0.63846407],[-0.06384641]
335,335,[6275.28313543],[-0.0445371],[104217.68514059],[1.57585591],[-0.63843433],[-0.06384343]
336,336,[6275.69014754],[-0.04512829],[103938.29462071],[1.57549878],[-0.63840614],[-0.06384061]
337,337,[6276.10144983],[-0.04571903],[103655.17956496],[1.57515322],[-0.63837961],[-0.06383796]
338,338,[6276.51693754],[-0.04630929],[103368.34226124],[1.57481999],[-0.63835486],[-0.06383549]
339,339,[6276.93649814],[-0.04689905],[103077.7851103],[1.57449995],[-0.638332],[-0.0638332]
340,340,[6277.36001073],[-0.0474883],[102783.51063353],[1.57419397],[-0.63831117],[-0.06383112]
341,341,[6277.78734546],[-0.04807702],[102485.52148141],[1.57390301],[-0.63829252],[-0.06382925]
342,342,[6278.21836288],[-0.04866517],[102183.82044256],[1.57362809],[-0.6382762],[-0.06382762]
343,343,[6278.65291325],[-0.04925274],[101878.41045337],[1.57337031],[-0.63826237],[-0.06382624]
344,344,[6279.09083597],[-0.0498397],[101569.29460841],[1.57313081],[-0.6382512],[-0.06382512]
345,345,[6279.53195877],[-0.05042601],[101256.4761714],[1.57291082],[-0.63824288],[-0.06382429]
346,346,[6279.97609714],[-0.05101166],[100939.95858697],[1.57271162],[-0.6382376],[-0.06382376]
347,347,[6280.42305357],[-0.05159661],[100619.74549307],[1.57253457],[-0.63823555],[-0.06382356]
348,348,[6280.87261697],[-0.05218082],[100295.84073406],[1.57238107],[-0.63823697],[-0.0638237]
349,349,[6281.32456203],[-0.05276426],[99968.24837444],[1.57225626],[-0.6382426],[-0.06382426]
350,350,[6281.77861265],[-0.05334688],[99636.97271327],[1.5721696],[-0.63825386],[-0.06382539]
351,351,[6282.23439962],[-0.05392863],[99302.01833643],[1.57211467],[-0.63826981],[-0.06382698]
352,352,[6282.69161581],[-0.05450946],[98963.39021292],[1.57209397],[-0.63829081],[-0.06382908]
353,353,[6283.14992913],[-0.05508932],[98621.09362964],[1.57211019],[-0.63831727],[-0.06383173]
354,354,[6283.60898048],[-0.05566815],[98275.13421672],[1.57216626],[-0.63834963],[-0.06383496]
355,355,[6284.06838136],[-0.05624589],[97925.51797508],[1.57226537],[-0.63838837],[-0.06383884]
356,356,[6284.52771138],[-0.05682247],[97572.25130632],[1.57241095],[-0.63843401],[-0.0638434]
357,357,[6284.98651555],[-0.05739783],[97215.34104526],[1.57260677],[-0.63848711],[-0.06384871]
358,358,[6285.4443013],[-0.05797189],[96854.79449518],[1.57285688],[-0.63854829],[-0.06385483]
359,359,[6285.90053528],[-0.05854457],[96490.61946617],[1.57316571],[-0.63861821],[-0.06386182]
360,360,[6286.35463987],[-0.05911578],[96122.82431673],[1.57353803],[-0.6386976],[-0.06386976]
361,361,[6286.80598946],[-0.05968542],[95751.41799897],[1.57397905],[-0.63878725],[-0.06387872]
362,362,[6287.25390632],[-0.06025339],[95376.41010763],[1.5744944],[-0.63888801],[-0.0638888]
363,363,[6287.69765627],[-0.06081958],[94997.81093331],[1.57509018],[-0.6390008],[-0.06390008]
364,364,[6288.13644386],[-0.06138387],[94615.63152019],[1.57577302],[-0.63912665],[-0.06391266]
365,365,[6288.56940729],[-0.06194613],[94229.88372861],[1.57655008],[-0.63926663],[-0.06392666]
366,366,[6288.99561289],[-0.06250621],[93840.58030296],[1.57742913],[-0.63942193],[-0.06394219]
367,367,[6289.41404916],[-0.06306397],[93447.73494518],[1.57841856],[-0.63959384],[-0.06395938]
368,368,[6289.82362038],[-0.06361923],[93051.36239438],[1.57952746],[-0.63978375],[-0.06397838]
369,369,[6290.22313978],[-0.06417183],[92651.47851298],[1.58076563],[-0.63999317],[-0.06399932]
370,370,[6290.6113222],[-0.06472156],[92248.10037987],[1.58214368],[-0.64022374],[-0.06402237]
371,371,[6290.98677623],[-0.06526822],[91841.24639111],[1.58367302],[-0.64047721],[-0.06404772]
372,372,[6291.34799586],[-0.06581157],[91430.93636865],[1.58536598],[-0.6407555],[-0.06407555]
373,373,[6291.69335154],[-0.06635139],[91017.19167751],[1.5872358],[-0.64106068],[-0.06410607]
374,374,[6292.0210808],[-0.06688739],[90600.0353522],[1.58930599],[-0.64139636],[-0.06413964]
375,375,[6292.3291874],[-0.06741928],[90179.49223269],[1.5915892],[-0.64176455],[-0.06417646]
376,376,[6292.61554734],[-0.06794675],[89755.58920591],[1.59410843],[-0.64216884],[-0.06421688]
377,377,[6292.87780739],[-0.06846944],[89328.35533541],[1.59688493],[-0.64261259],[-0.06426126]
378,378,[6293.11340137],[-0.06898696],[88897.82209729],[1.59994194],[-0.64309947],[-0.06430995]
379,379,[6293.31953057],[-0.0694989],[88464.02359835],[1.60330483],[-0.64363354],[-0.06436335]
380,380,[6293.49314237],[-0.0700048],[88026.9968143],[1.60700129],[-0.64421922],[-0.06442192]
381,381,[6293.63090714],[-0.07050416],[87586.78184972],[1.61106148],[-0.64486138],[-0.06448614]
382,382,[6293.72919311],[-0.07099643],[87143.4222215],[1.61551832],[-0.64556539],[-0.06455654]
383,383,[6293.78403926],[-0.07148104],[86696.96516778],[1.62040761],[-0.64633711],[-0.06463371]
384,384,[6293.79112608],[-0.07195732],[86247.46198439],[1.62576832],[-0.64718297],[-0.0647183]
385,385,[6293.74574402],[-0.07242457],[85794.96839077],[1.63142514],[-0.64807657],[-0.06480766]
386,386,[6293.64489428],[-0.07288237],[85339.54492764],[1.63739141],[-0.64902034],[-0.06490203]
387,387,[6293.48544164],[-0.07333026],[84881.25513866],[1.64385634],[-0.65004399],[-0.0650044]
388,388,[6293.26238962],[-0.0737675],[84420.16570381],[1.65085577],[-0.65115381],[-0.06511538]
389,389,[6292.97038107],[-0.07419329],[83956.34839028],[1.65842754],[-0.65235655],[-0.06523566]
390,390,[6292.60367811],[-0.0746068],[83489.88041473],[1.66661143],[-0.65365944],[-0.06536594]
391,391,[6292.15614218],[-0.07500709],[83020.84482453],[1.67544916],[-0.65507022],[-0.06550702]
392,392,[6291.62121434],[-0.07539322],[82549.3308976],[1.68498432],[-0.65659712],[-0.06565971]
393,393,[6290.99189633],[-0.07576414],[82075.43456018],[1.69526222],[-0.65824895],[-0.06582489]
394,394,[6290.2607326],[-0.07611876],[81599.25882138],[1.70632978],[-0.66003507],[-0.06600351]
395,395,[6289.4197939],[-0.0764559],[81120.9142231],[1.7182353],[-0.66196544],[-0.06619654]
396,396,[6288.46066293],[-0.07677433],[80640.51930307],[1.73102817],[-0.6640506],[-0.06640506]
397,397,[6287.37442263],[-0.07707275],[80158.20106838],[1.74475853],[-0.66630171],[-0.06663017]
398,398,[6286.15164796],[-0.07734975],[79674.09547601],[1.75947685],[-0.66873054],[-0.06687305]
399,399,[6284.78240182],[-0.0776039],[79188.34791609],[1.77523338],[-0.6713495],[-0.06713495]
400,400,[6283.25623623],[-0.07783366],[78701.11369265],[1.79207754],[-0.6741716],[-0.06741716]
401,401,[6281.56219958],[-0.07803744],[78212.55849549],[1.81005716],[-0.67721043],[-0.06772104]
402,402,[6279.6888513],[-0.07821357],[77722.85885598],[1.82921762],[-0.68048021],[-0.06804802]
403,403,[6277.62428497],[-0.07836033],[77232.20257775],[1.84960085],[-0.68399566],[-0.06839957]
404,404,[6275.35616133],[-0.07847593],[76740.78913246],[1.87124421],[-0.68777202],[-0.0687772]
405,405,[6272.8717525],[-0.07855855],[76248.8300091],[1.89417917],[-0.691825],[-0.0691825]
406,406,[6270.15799881],[-0.07860631],[75756.54900371],[1.91842993],[-0.69617064],[-0.06961706]
407,407,[6267.2015797],[-0.07861731],[75264.18243522],[1.94401184],[-0.70082532],[-0.07008253]
408,408,[6263.98899998],[-0.07858965],[74771.97927126],[1.97092972],[-0.70580559],[-0.07058056]
409,409,[6260.50669289],[-0.07852142],[74280.20114659],[1.99917606],[-0.71112807],[-0.07111281]
410,410,[6256.74114084],[-0.07841074],[73789.12225571],[2.02872915],[-0.71680933],[-0.07168093]
411,411,[6252.67901486],[-0.07825578],[73299.0290997],[2.05955114],[-0.72286573],[-0.07228657]
412,412,[6248.30733321],[-0.07805479],[72810.22006734],[2.09158613],[-0.72931325],[-0.07293133]
413,413,[6243.6136392],[-0.07780611],[72323.00482975],[2.12475826],[-0.7361673],[-0.07361673]
414,414,[6238.5861977],[-0.07750823],[71837.70352855],[2.15896999],[-0.74344257],[-0.07434426]
415,415,[6233.21420941],[-0.07715981],[71354.64573818],[2.1932164],[-0.75095709],[-0.07509571]
416,416,[6227.49671111],[-0.07676103],[70874.16918533],[2.22805252],[-0.75886278],[-0.07588628]
417,417,[6221.42729508],[-0.07631125],[70396.60943814],[2.26338734],[-0.76718191],[-0.07671819]
418,418,[6215.0004352],[-0.07581003],[69922.3051798],[2.29903904],[-0.77592023],[-0.07759202]
419,419,[6208.21237895],[-0.07525722],[69451.59696935],[2.33480537],[-0.78508176],[-0.07850818]
420,420,[6201.06135102],[-0.07465299],[68984.8250848],[2.37046477],[-0.79466867],[-0.07946687]
421,421,[6193.54774658],[-0.07399793],[68522.32715692],[2.40577794],[-0.80468121],[-0.08046812]
422,422,[6185.67430882],[-0.07329297],[68064.43561031],[2.44049012],[-0.8151176],[-0.08151176]
423,423,[6177.44628524],[-0.07253952],[67611.47493467],[2.47433377],[-0.82597407],[-0.08259741]
424,424,[6168.87155718],[-0.0717394],[67163.7588157],[2.50703189],[-0.83724481],[-0.08372448]
425,425,[6159.96073774],[-0.07089491],[66721.58716079],[2.53830164],[-0.84892209],[-0.08489221]
426,426,[6150.72723361],[-0.07000879],[66285.24306025],[2.56785844],[-0.86099636],[-0.08609964]
427,427,[6141.18726742],[-0.0690843],[65854.98972901],[2.59542018],[-0.8734564],[-0.08734564]
428,428,[6131.35985856],[-0.06812514],[65431.06747689],[2.62071153],[-0.88628959],[-0.08862896]
429,429,[6121.26676153],[-0.06713546],[65013.69075714],[2.64346821],[-0.89948211],[-0.08994821]
430,430,[6110.93236266],[-0.06611986],[64603.04534248],[2.66344092],[-0.91301931],[-0.09130193]
431,431,[6100.38353757],[-0.06508336],[64199.28567589],[2.68039899],[-0.92688606],[-0.09268861]
432,432,[6089.64947339],[-0.06403135],[63802.53243936],[2.69413328],[-0.94106714],[-0.09410671]
433,433,[6078.76146102],[-0.06296955],[63412.87037777],[2.70445861],[-0.95554768],[-0.09555477]
434,434,[6067.75266422],[-0.06190401],[63030.34640784],[2.71121527],[-0.97031359],[-0.09703136]
435,435,[6056.65787311],[-0.06084102],[62654.96803309],[2.7142697],[-0.98535207],[-0.09853521]
436,436,[6045.51325018],[-0.05978709],[62286.70207659],[2.7135144],[-1.00065208],[-0.10006521]
437,437,[6034.3560772],[-0.05874889],[61925.47373271],[2.70886695],[-1.01620483],[-0.10162048]
438,438,[6023.22451117],[-0.05773321],[61571.16593006],[2.70026823],[-1.03200425],[-0.10320042]
439,439,[6012.15735683],[-0.05674694],[61223.61898768],[2.68768013],[-1.04804752],[-0.10480475]
440,440,[6001.19386202],[-0.05579699],[60882.6305394],[2.67108256],[-1.06433552],[-0.10643355]
441,441,[5990.37354124],[-0.0548903],[60547.9556939],[2.65047024],[-1.08087333],[-0.10808733]
442,442,[5979.73603068],[-0.05403377],[60219.30739407],[2.62584929],[-1.09767068],[-0.10976707]
443,443,[5969.32097631],[-0.05323426],[59896.35693627],[2.59723394],[-1.11474248],[-0.11147425]
444,444,[5959.16795436],[-0.05249858],[59578.7346107],[2.56464348],[-1.13210921],[-0.11321092]
445,445,[5949.31642108],[-0.05183345],[59266.03042656],[2.5280999],[-1.14979752],[-0.11497975]
446,446,[5939.8056858],[-0.05124549],[58957.79489195],[2.48762645],[-1.16784064],[-0.11678406]
447,447,[5930.67489806],[-0.05074123],[58653.53982751],[2.44324755],[-1.18627898],[-0.1186279]
448,448,[5921.96303558],[-0.05032706],[58352.73920647],[2.39499054],[-1.20516063],[-0.12051606]
449,449,[5913.70887493],[-0.05000923],[58054.83003183],[2.34288996],[-1.22454201],[-0.1224542]
450,450,[5905.95092036],[-0.04979381],[57759.21328549],[2.28699515],[-1.24448848],[-0.12444885]
451,451,[5898.72725785],[-0.04968664],[57465.25501584],[2.22738229],[-1.26507498],[-0.1265075]
452,452,[5892.07529078],[-0.04969324],[57172.28767225],[2.16417245],[-1.2863867],[-0.12863867]
453,453,[5886.03129852],[-0.0498187],[56879.61184908],[2.09755741],[-1.30851981],[-0.13085198]
454,454,[5880.62974033],[-0.05006751],[56586.49867414],[2.02783614],[-1.33158195],[-0.13315819]
455,455,[5875.90220132],[-0.05044328],[56292.19317067],[1.95546489],[-1.35569279],[-0.13556928]
456,456,[5871.87584448],[-0.05094844],[55995.91904584],[1.88112537],[-1.38098416],[-0.13809842]
457,457,[5868.57119193],[-0.05158372],[55696.8855191],[1.80581589],[-1.40759983],[-0.14075998]
458,458,[5865.99900869],[-0.05234751],[55394.29701061],[1.73097105],[-1.43569445],[-0.14356944]
459,459,[5864.15600732],[-0.053235],[55087.36676877],[1.65861547],[-1.46543146],[-0.14654315]
460,460,[5863.01903764],[-0.05423701],[54775.33583173],[1.59155519],[-1.4969792],[-0.14969792]
461,461,[5862.53738972],[-0.05533851],[54457.49908172],[1.53360529],[-1.53050452],[-0.15305045]
462,462,[5862.62285155],[-0.05651678],[54133.240534],[1.48984164],[-1.56616289],[-0.15661629]
463,463,[5863.13728148],[-0.05773911],[53802.08033292],[1.46684465],[-1.60408366],[-0.16040837]
464,464,[5863.87776874],[-0.05896024],[53463.73606609],[1.47287064],[-1.64434904],[-0.1644349]
465,465,[5864.56008873],[-0.06011954],[53118.20070774],[1.5178387],[-1.68696554],[-0.16869655]
466,466,[5864.80225876],[-0.06113849],[52765.83837434],[1.6129639],[-1.731827],[-0.1731827]
467,467,[5864.11166336],[-0.06191889],[52407.4965849],[1.76982015],[-1.7786702],[-0.17786702]
468,468,[5861.88134775],[-0.06234313],[52044.6292633],[1.998624],[-1.82702666],[-0.18270267]
469,469,[5857.40313517],[-0.06227744],[51679.4179133],[2.30566412],[-1.87617895],[-0.1876179]
470,470,[5849.90597495],[-0.06157973],[51314.86961192],[2.70130818],[-1.92641868],[-0.19264187]
471,471,[5838.51583108],[-0.06009055],[50954.86162968],[3.20737679],[-1.97899171],[-0.19789917]
472,472,[5822.14318606],[-0.05761077],[50604.23308996],[3.77413164],[-2.02867322],[-0.20286732]
473,473,[5800.18445015],[-0.05403859],[50269.00045658],[4.35985054],[-2.07349466],[-0.20734947]
474,474,[5772.44416729],[-0.0493472],[49955.71921445],[4.91188974],[-2.11152459],[-0.21115246]
475,475,[5739.24281447],[-0.04360234],[49670.98083671],[5.37624068],[-2.1411346],[-0.21411346]
476,476,[5701.43106266],[-0.03696409],[49420.8157187],[5.70848279],[-2.16123858],[-0.21612386]
477,477,[5660.29664954],[-0.02967129],[49210.11547259],[5.88223374],[-2.17143608],[-0.21714361]
478,478,[5617.38822325],[-0.02201216],[49042.19179712],[5.8924811],[-2.17202318],[-0.21720232]
479,479,[5574.30621427],[-0.01428906],[48918.55092656],[5.75356893],[-2.16388085],[-0.21638808]
480,480,[5532.51309819],[-0.00678528],[48838.9020542],[5.49352657],[-2.14828685],[-0.21482868]
481,481,[5493.19895558],[0.00026011],[48801.36267183],[5.14709879],[-2.12670878],[-0.21267088]
482,482,[5457.21515757],[0.00666681],[48802.791485],[4.74946388],[-2.10062474],[-0.21006247]
483,483,[5425.06954485],[0.0123173],[48839.17340692],[4.33176893],[-2.07139644],[-0.20713964]
484,484,[5396.96538119],[0.01715264],[48905.99391518],[3.91875029],[-2.04019816],[-0.20401982]
485,485,[5372.86370642],[0.02116304],[48998.56157324],[3.52811282],[-2.00799186],[-0.20079919]
486,486,[5352.55187965],[0.02437624],[49112.25923811],[3.17108497],[-1.97553339],[-0.19755334]
487,487,[5335.70679331],[0.0268458],[49242.72138417],[2.85357382],[-1.94339581],[-0.19433958]
488,488,[5321.94686592],[0.02864095],[49385.94548605],[2.57748809],[-1.91199943],[-0.19119994]
489,489,[5310.87114926],[0.02983833],[49538.35023776],[2.34196837],[-1.88164204],[-0.1881642]
490,490,[5302.08643783],[0.03051597],[49696.79424686],[2.14440417],[-1.85252605],[-0.18525261]
491,491,[5295.22445145],[0.03074912],[49858.5674645],[1.9812088],[-1.82478133],[-0.18247813]
492,492,[5289.95144961],[0.03060764],[50021.36530235],[1.84837198],[-1.79848353],[-0.17984835]
493,493,[5285.97244337],[0.03015461],[50183.25295032],[1.74183035],[-1.77366851],[-0.17736685]
494,494,[5283.03178188],[0.02944577],[50342.62524665],[1.65769921],[-1.7503434],[-0.17503434]
495,495,[5280.91146811],[0.0285295],[50498.1657094],[1.59240404],[-1.728495],[-0.1728495]
496,496,[5279.42818173],[0.02744719],[50648.80702012],[1.54274329],[-1.70809622],[-0.17080962]
497,497,[5278.42968192],[0.02623383],[50793.69429978],[1.50590584],[-1.68911077],[-0.16891108]
498,498,[5277.791032],[0.02491865],[50932.15185814],[1.47946061],[-1.67149678],[-0.16714968]
499,499,[5277.41092053],[0.02352579],[51063.65365922],[1.46132992],[-1.6552094],[-0.16552094]
500,500,[5277.20823634],[0.02207502],[51187.79746689],[1.44975493],[-1.64020282],[-0.16402028]
501,501,[5277.118977],[0.02058231],[51304.28246759],[1.44325821],[-1.62643168],[-0.16264317]
502,502,[5277.09351866],[0.01906042],[51412.89007787],[1.44060631],[-1.61386558],[-0.16138656]
503,503,[5277.0942488],[0.01751942],[51513.46760476],[1.44052615],[-1.60342974],[-0.16034297]
504,504,[5277.09597504],[0.01596781],[51605.91450878],[1.44210101],[-1.5939963],[-0.15939963]
505,505,[5277.08245221],[0.01441059],[51690.174583],[1.44475711],[-1.58553842],[-0.15855384]
506,506,[5277.04303423],[0.01285146],[51766.21780934],[1.44801935],[-1.57803192],[-0.15780319]
507,507,[5276.97171631],[0.01129305],[51834.03366209],[1.45149644],[-1.57145548],[-0.15714555]
508,508,[5276.86632068],[0.00973706],[51893.62549137],[1.45486838],[-1.56579069],[-0.15657907]
509,509,[5276.7278042],[0.00818447],[51945.00583945],[1.45787592],[-1.56102214],[-0.15610221]
510,510,[5276.5596678],[0.00663564],[51988.19256402],[1.46031194],[-1.55713744],[-0.15571374]
511,511,[5276.36744947],[0.00509046],[52023.20566207],[1.46201454],[-1.55412727],[-0.15541273]
512,512,[5276.15828419],[0.00354844],[52050.06470625],[1.4628617],[-1.55198537],[-0.15519854]
513,513,[5275.94051544],[0.00200881],[52068.78682297],[1.46276741],[-1.55070854],[-0.15507085]
514,514,[5275.72334407],[0.00047058],[52079.38515729],[1.46167914],[-1.55029662],[-0.15502966]
515,515,[5275.51650126],[-0.00106733],[52081.86778487],[1.45957666],[-1.55075245],[-0.15507525]
516,516,[5275.32993249],[-0.00260605],[52076.23704589],[1.45647216],[-1.55208183],[-0.15520818]
517,517,[5275.17348],[-0.00414665],[52062.48928976],[1.45241165],[-1.55429342],[-0.15542934]
518,518,[5275.05655091],[-0.00569011],[52040.61503376],[1.4474777],[-1.55739864],[-0.15573986]
519,519,[5274.9877578],[-0.00723716],[52010.59955282],[1.44179357],[-1.56141146],[-0.15614115]
520,520,[5274.9745183],[-0.00878827],[51972.42393239],[1.43552882],[-1.56634823],[-0.15663482]
521,521,[5275.02259922],[-0.01034346],[51926.06663127],[1.42890636],[-1.57222733],[-0.15722273]
522,522,[5275.13559056],[-0.01190224],[51871.50561708],[1.42221108],[-1.57906877],[-0.15790688]
523,523,[5275.31429414],[-0.01346346],[51808.72115278],[1.41579997],[-1.58689361],[-0.15868936]
524,524,[5275.55601206],[-0.01502512],[51737.69932877],[1.41011361],[-1.59572328],[-0.15957233]
525,525,[5275.85372156],[-0.01658425],[51658.43644955],[1.40568865],[-1.6055786],[-0.16055786]
526,526,[5276.19512589],[-0.01813666],[51570.94439654],[1.40317078],[-1.61647859],[-0.16164786]
527,527,[5276.5615767],[-0.01967675],[51475.25709612],[1.40332718],[-1.62843901],[-0.1628439]
528,528,[5276.92687273],[-0.02119725],[51371.43822181],[1.40728398],[-1.64188751],[-0.16418875]
529,529,[5277.25372785],[-0.02268794],[51259.59024622],[1.41680066],[-1.6571877],[-0.16571877]
530,530,[5277.48754281],[-0.02413437],[51139.87049299],[1.43315668],[-1.67368596],[-0.1673686]
531,531,[5277.56108578],[-0.02552033],[51012.51401792],[1.45796513],[-1.69136232],[-0.16913623]
532,532,[5277.39120089],[-0.02682633],[50877.84354784],[1.49297096],[-1.7101751],[-0.17101751]
533,533,[5276.87749063],[-0.02802941],[50736.2875003],[1.53998311],[-1.73005533],[-0.17300553]
534,534,[5275.90166183],[-0.02910312],[50588.39907785],[1.60076678],[-1.75090057],[-0.17509006]
